batsman,runs,deliveries_faced,outs,dots,singles,doubles,threes,fours,sixers,bowled,catches,run_outs
DP Nannes,4,13,1,9,4,0,0,0,0,1,0,0
DP Vijaykumar,1,1,0,0,1,0,0,0,0,0,0,0
DPMD Jayawardene,1802,1460,63,527,565,92,4,200,39,12,38,8
DR Sams,0,2,1,2,0,0,0,0,0,0,1,0
DR Smith,2385,1755,81,738,519,84,3,244,117,30,48,2
DS Kulkarni,104,108,9,43,45,8,1,7,2,4,0,4
DT Christian,446,371,24,115,179,29,2,22,18,9,13,1
DT Patil,13,13,1,5,5,2,0,1,0,0,1,0
DW Steyn,167,160,22,66,55,19,0,14,3,10,8,3
E Lewis,430,328,16,147,100,12,2,36,26,4,11,0
EJG Morgan,1272,1006,49,381,363,68,3,104,58,9,33,6
ER Dwivedi,24,14,2,5,4,0,0,2,2,0,2,0
F Behardien,14,13,2,5,6,0,0,2,0,0,2,0
F du Plessis,2302,1779,67,588,761,119,11,205,73,12,40,6
FH Edwards,4,5,1,3,1,0,1,0,0,1,0,0
G Gambhir,4217,3394,135,1170,1348,248,15,490,58,34,80,15
GB Hogg,22,22,2,5,14,2,0,1,0,0,2,0
GC Smith,739,664,30,283,228,39,1,92,9,3,20,4
GD McGrath,4,5,1,4,0,0,0,1,0,0,1,0
GH Vihari,284,319,20,133,136,22,1,23,1,1,17,1
GJ Bailey,663,541,29,187,221,43,1,59,19,5,16,6
GJ Maxwell,1505,968,69,321,329,74,2,117,91,18,46,4
Gurkeerat Singh,511,422,27,145,176,23,1,55,11,6,12,5
H Das,2,5,1,3,2,0,0,0,0,0,0,1
H Klaasen,66,56,5,18,24,8,0,5,1,1,4,0
HF Gurney,1,5,0,4,1,0,0,0,0,0,0,0
HH Gibbs,886,805,32,354,264,45,3,83,31,10,16,3
HH Pandya,1349,842,47,261,337,45,3,86,93,7,34,3
HM Amla,577,406,13,130,164,21,1,60,21,3,8,1
HV Patel,128,93,11,30,42,6,0,5,9,4,6,1
Harbhajan Singh,829,595,56,235,192,34,0,77,42,13,33,8
