success,timestamp,date,base,rates.INR,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR
TRUE,1629901260,25-08-2021,USD,74.18979281,0.001334613,3.738003503,12.22385409,1.668831436,10.86213143,0.941144882,0.043096941,1.000932142,74.27728784,11.20212009,2.507639345,19617.052
TRUE,1629901560,25-08-2021,USD,74.22720652,0.001333907,3.73365683,12.21503933,1.668062032,10.86495414,0.941483504,,1.001002156,74.29733349,11.21141664,2.508717059,19618.62
TRUE,1629901800,25-08-2021,USD,74.20346687,0.00133372,3.732188921,12.2206104,1.667028482,10.85833162,0.940825072,0.043127531,1.00045205,74.29436376,11.20805644,2.508742122,19612.348
TRUE,1629902160,25-08-2021,USD,74.26016531,0.001333733,3.735261869,12.22480694,1.665678432,10.86473701,0.941361224,0.04310168,1.000732104,74.31440941,11.20424821,2.506661884,19608.036
TRUE,1629902460,25-08-2021,USD,74.21045419,0.00133384,3.725810056,12.21090673,1.663000846,10.85768022,0.940778041,0.043102111,1.000782113,74.26392408,11.20536828,2.508641869,19605.292
TRUE,1629902760,25-08-2021,USD,74.23667181,0.001333573,3.723237209,12.19298914,1.663982778,10.85963441,0.941097851,0.043090047,1.000592077,74.3069851,11.20895249,2.507915039,19606.86
TRUE,1629903060,25-08-2021,USD,74.23370409,0.001334427,3.725708964,12.20100985,1.664497511,10.86734259,0.941116663,0.04312193,1.001032161,74.25278761,11.20189607,2.508341112,19618.816
TRUE,1629903360,25-08-2021,USD,74.23321876,0.001333947,3.738152948,12.22090968,1.66928093,10.86137147,0.940862696,0.043105558,1.00097215,74.25130274,11.20514427,2.508140607,19603.136
TRUE,1629903660,25-08-2021,USD,74.21373878,0.001334333,3.741187471,12.22753297,1.669449702,10.86223999,0.940787447,0.043093494,1.000442048,74.28322729,11.20447223,2.506887452,19605.488
TRUE,1629903900,25-08-2021,USD,74.26345204,0.00133448,3.738414478,12.23369368,1.668948197,10.86593124,0.941069632,0.043119345,1.001172188,74.26095435,11.21152864,2.50816567,19617.248
TRUE,1629905160,25-08-2021,USD,74.20650629,0.001333947,3.747234441,12.21882145,1.669883611,10.85778879,0.941097851,0.043092202,1.000882132,74.29065161,11.20290413,2.508040355,19606.468
TRUE,1629905460,25-08-2021,USD,74.23753743,0.001334413,3.745081258,12.22044455,1.668429958,10.86723403,0.940984977,0.043090478,1.000942144,74.30253051,11.2073844,2.508541617,19612.936
TRUE,1629905700,25-08-2021,USD,74.22285477,0.001333933,3.742263798,12.21369667,1.669633279,10.86419418,0.94137063,0.043101249,1.000492058,74.28322729,11.21152864,2.507664408,19610.584
TRUE,1629906060,25-08-2021,USD,74.18354261,0.001334253,3.747763604,12.21910112,1.6703717,10.86679976,0.941097851,0.043123223,1.00097215,74.25575733,11.21130463,2.507163146,19609.016
TRUE,1629906360,25-08-2021,USD,74.19519958,0.00133436,3.749283372,12.21895486,1.671375738,10.86375992,0.94085329,0.043099957,1.000852127,74.29436376,11.20615233,2.50856668,19608.82
TRUE,1629906660,25-08-2021,USD,74.22723147,0.00133448,3.750080787,12.23329144,1.674208921,10.86473701,0.940900321,0.043123223,1.000652088,74.30327294,11.20424821,2.508140607,19602.744
TRUE,1629906960,25-08-2021,USD,74.19904458,0.00133384,3.747052077,12.23060202,1.673573255,10.86082864,0.940834478,0.043105127,1.001102175,74.281,11.20458423,2.506937578,19607.252
TRUE,1629907320,25-08-2021,USD,74.19014345,0.001334253,3.745805243,12.21949897,1.671862578,10.86593124,0.941323599,0.043122361,1.000472054,74.28174243,11.21018456,2.507889976,19616.268
TRUE,1629907620,25-08-2021,USD,74.22129739,0.001334173,3.745842697,12.21744689,1.671691149,10.86484558,0.941069632,0.04309651,1.001112177,74.28322729,11.20357617,2.508290986,19619.012
TRUE,1629907920,25-08-2021,USD,74.2444369,0.001334373,3.742997428,12.21363052,1.670855138,10.85876588,0.941398849,0.043099957,1.000412042,74.29807592,11.20268012,2.507188209,19612.348
TRUE,1629908160,25-08-2021,USD,74.23849972,0.001333587,3.743270602,12.20609249,1.671357111,10.86658263,0.941276568,0.043108574,1.000442048,74.29362133,11.20615233,2.508140607,19619.208
TRUE,1629908460,25-08-2021,USD,74.21336564,0.00133404,3.744014974,12.21241004,1.672713638,10.86202286,0.940740416,0.043117191,1.000542067,74.26243922,11.20704838,2.508065418,19602.548
TRUE,1629908820,25-08-2021,USD,74.27091991,0.00133416,3.74964177,12.21229796,1.672144225,10.86365135,0.941267162,0.043107712,1.001142182,74.29584863,11.21007256,2.508140607,
TRUE,1629909120,25-08-2021,USD,74.22977742,0.00133404,3.748683841,12.21365098,1.672680217,10.85854875,0.941398849,0.04311159,1.001062167,74.28990918,11.20895249,2.507463903,19602.548
TRUE,1629909420,25-08-2021,USD,74.21197154,0.001334533,3.749342074,12.20218842,1.672097461,10.86397705,0.941013195,0.043113744,1.000382036,74.26615137,11.2073844,2.508616806,19605.488
TRUE,1629909720,25-08-2021,USD,74.28181627,0.001334507,3.749320843,12.20986506,1.673503125,10.85985154,0.941380036,0.043093063,1.000422044,74.30624267,11.21018456,2.506987704,19612.544
TRUE,1629909960,25-08-2021,USD,74.2132819,0.00133416,3.749936753,12.21632633,1.672415045,10.85854875,0.941304787,0.043094356,1.001042163,74.27283325,11.2040242,2.507739597,19615.092
TRUE,1629910260,25-08-2021,USD,74.19473581,0.001334213,3.748897997,12.21411871,1.673239569,10.86050294,0.940947352,0.043109866,1.000792115,74.31218212,11.20783242,2.507288461,19610.78
TRUE,1629910560,25-08-2021,USD,74.21689959,0.00133388,3.749031729,12.20709644,1.672736319,10.85778879,0.940975571,0.043102973,1.001082171,74.30401537,11.21096861,2.507062893,19617.052
TRUE,1629910860,25-08-2021,USD,74.2302923,0.00133428,3.752202437,12.20065176,1.673087516,10.86213143,0.941549348,0.043099957,1.000612081,74.26986353,11.20503226,2.506812262,19609.408
TRUE,1629911220,25-08-2021,USD,74.20120818,0.0013338,3.752256855,12.2066936,1.672552358,10.86028581,0.941530535,0.043115037,1.000642086,74.28693945,11.2090645,2.507539092,19609.604
TRUE,1629911520,25-08-2021,USD,74.18785824,0.001333973,3.750017575,12.21418491,1.673388542,10.86527984,0.941521129,0.043097372,1.000462052,74.30772753,11.20660035,2.507313524,19613.132
TRUE,1629911820,25-08-2021,USD,74.25426705,0.00133364,3.750456996,12.21339661,1.671795718,10.86451988,0.941464692,0.04310642,1.00097215,74.25798463,11.20951252,2.508641869,19611.956
TRUE,1629912120,25-08-2021,USD,74.21758167,0.001334533,3.750082025,12.21050383,1.673723016,10.86375992,0.940796853,0.043089186,1.001042163,74.27357569,11.20850446,2.508666932,19614.7
TRUE,1629912420,25-08-2021,USD,74.24532251,0.001334187,3.752209071,12.208429,1.673355095,10.86256569,0.941398849,0.043099957,1.000672092,74.29659106,11.20525627,2.507614282,19603.92
